"Gene"	"P-value"
"212"	"ACTR6"	0.062117903316905
"213"	"ACTR8"	0.00199591902169705
"214"	"ACVR1"	0.0427842707597159
"215"	"ACVR1B"	0.24415684907837
"216"	"ACVR1C"	0.0281839330918583
"217"	"ACVR2A"	2.13018472083881e-06
"218"	"ACVR2B"	0.000127363698777194
"219"	"ACVRL1"	0.0010548013631354
"220"	"ACY1"	0.00266651646921356
"221"	"ACY3"	0.016020001683334
"222"	"ACYP1"	0.579221183677946
"223"	"ACYP2"	0.660192509586796
"224"	"ADA"	2.3581627223157e-06
"225"	"ADAD2"	0.678771154275853
"226"	"ADAL"	0.00663888999266993
"227"	"ADAM10"	0.00450847003472277
"228"	"ADAM11"	1.24265975542937e-06
"229"	"ADAM12"	2.71650787420086e-08
"230"	"ADAM15"	0.921744344863449
"231"	"ADAM17"	0.11728069654885
"232"	"ADAM18"	0.193040872064696
"233"	"ADAM19"	0.00116750020139933
"234"	"ADAM20"	0.210046103683876
"235"	"ADAM21"	0.916387958754415
"236"	"ADAM21P1"	0.619287945620744
"237"	"ADAM22"	0.000176826035189537
"238"	"ADAM23"	0.802903914007231
"239"	"ADAM28"	0.976910809014732
"240"	"ADAM29"	0.319807082113739
"241"	"ADAM32"	0.000307590896810761
"242"	"ADAM33"	0.000952674612569648
"243"	"ADAM6"	0.0156512460157217
"244"	"ADAM7"	0.109393883868478
"245"	"ADAM8"	1.57800124933605e-06
"246"	"ADAM9"	0.408969797980564
"247"	"ADAMDEC1"	0.427990415669681
"248"	"ADAMTS10"	0.000100629508668404
"249"	"ADAMTS12"	0.389699645570595
"250"	"ADAMTS13"	7.36438317288091e-05
"251"	"ADAMTS14"	2.001815380126e-10
"252"	"ADAMTS15"	0.796266717256085
"253"	"ADAMTS16"	0.0414597093526553
"254"	"ADAMTS17"	0.980078469632679
"255"	"ADAMTS18"	0.524401518713711
"256"	"ADAMTS19"	0.775793996354645
"257"	"ADAMTS1"	0.441565370327843
"258"	"ADAMTS20"	0.588363865873093
"259"	"ADAMTS2"	0.7845747822256
"260"	"ADAMTS3"	0.0745066866221282
"261"	"ADAMTS4"	0.253643667746586
"262"	"ADAMTS5"	0.173723362873833
"263"	"ADAMTS6"	0.126180012391189
"264"	"ADAMTS7"	0.931838476806896
"265"	"ADAMTS8"	0.953845065854393
"266"	"ADAMTS9"	0.694600206075593
"267"	"ADAMTSL1"	0.52743331830021
"268"	"ADAMTSL2"	0.0103374406026414
"269"	"ADAMTSL3"	0.00757853607024883
"270"	"ADAMTSL4"	0.000184858540838051
"271"	"ADAMTSL5"	0.00822962875724886
"272"	"ADAP1"	0.103902589558894
"273"	"ADAP2"	0.522154942933635
"274"	"ADAR"	0.00159806754859992
"275"	"ADARB1"	0.00386610004481025
"276"	"ADARB2"	0.021892765805308
"277"	"ADAT1"	0.0951944121249053
"278"	"ADAT2"	0.0222856377629017
"279"	"ADAT3"	0.0507381519078975
"280"	"ADC"	0.00775175048563859
"281"	"ADCK1"	0.196346345581783
"282"	"ADCK2"	0.55788554416836
"283"	"ADCK4"	0.446648717549936
"284"	"ADCK5"	1.43853429168672e-08
"285"	"ADCY10"	0.0027511578676358
"286"	"ADCY1"	0.000942157655726472
"287"	"ADCY2"	0.00366669042608236
"288"	"ADCY3"	0.628925982045089
"289"	"ADCY4"	0.196633040248795
"290"	"ADCY5"	1.80584003967033e-05
"291"	"ADCY6"	0.0754282133666354
"292"	"ADCY7"	0.163188303840184
"293"	"ADCY8"	0.339557054149615
"294"	"ADCY9"	3.40663677045328e-07
"295"	"ADCYAP1"	0.0192660021200111
"296"	"ADCYAP1R1"	0.597317557921418
"297"	"ADD1"	0.000132169470208887
"298"	"ADD2"	0.00475053650456692
"299"	"ADD3"	6.57065852338601e-06
"300"	"ADH1A"	0.210028910548509
"301"	"ADH1B"	0.999905479954997
"302"	"ADH1C"	0.899160927554063
"303"	"ADH4"	0.611441493682757
"304"	"ADH5"	1.65535923862814e-05
"305"	"ADH6"	0.00014783223107917
"306"	"ADHFE1"	0.366868820555968
"307"	"ADI1"	0.891743717615949
"308"	"ADIPOQ"	0.968982405100768
"309"	"ADIPOR1"	0.0239085725128687
"310"	"ADIPOR2"	0.0454190276976438
"311"	"ADK"	0.015610305245496
"312"	"ADM"	0.568445911649454
"313"	"ADM2"	0.0680168963833052
"314"	"ADNP2"	0.00217947689278408
"315"	"ADNP"	0.00676072995394772
"316"	"ADO"	0.251327804389117
"317"	"ADORA1"	0.0326345102763257
"318"	"ADORA2A"	0.750989267877592
"319"	"ADORA2B"	6.3474977175515e-06
"320"	"ADORA3"	0.395979614079502
"321"	"ADPGK"	0.0347743613715156
"322"	"ADPRH"	0.00626510308535055
"323"	"ADPRHL1"	0.0117051949106258
"324"	"ADPRHL2"	0.466498882564894
"325"	"ADRA1A"	0.0024407495341503
"326"	"ADRA1B"	0.0217662576317563
"327"	"ADRA1D"	0.778543197020797
"328"	"ADRA2A"	0.00124359224997661
"329"	"ADRA2B"	0.198810658935027
"330"	"ADRA2C"	0.980315829807731
"331"	"ADRB1"	0.606805844894531
"332"	"ADRB2"	0.00976986082869624
"333"	"ADRB3"	0.000113345983210777
"334"	"ADRBK1"	0.607066075890214
"335"	"ADRBK2"	0.871757944178578
"336"	"ADRM1"	2.11661805216146e-06
"337"	"ADSL"	0.00989551401751165
"338"	"ADSS"	0.1683524209879
"339"	"ADSSL1"	0.322024085049548
"340"	"AEBP1"	0.209942543911449
"341"	"AEBP2"	0.0187428243390446
"342"	"AEN"	0.00869385915741328
"343"	"AES"	0.232698139980853
"344"	"AFAP1"	0.0848697137370096
"345"	"AFAP1L1"	0.000696040081231253
"346"	"AFAP1L2"	0.0285995954897352
"347"	"AFARP1"	0.110127395898607
"348"	"AFF1"	0.000783160503023628
"349"	"AFF2"	0.0717441041532784
"350"	"AFF3"	0.00433094128280431
"351"	"AFF4"	7.3887937065753e-05
"352"	"AFG3L1"	1.58630779949487e-05
"353"	"AFG3L2"	3.23209549846215e-06
"354"	"AFM"	0.00135916029061123
"355"	"AFMID"	0.0361793423517606
"356"	"AFP"	0.0338446838429581
"357"	"AFTPH"	4.08324958589557e-06
"358"	"AG2"	0.667197887021263
"359"	"AGA"	0.0841063880760484
"360"	"AGAP11"	0.94560829810429
"361"	"AGAP1"	4.05974379247276e-06
"362"	"AGAP2"	0.215372324364287
"363"	"AGAP3"	0.00134917805292856
"364"	"AGAP4"	8.17945488906791e-06
"365"	"AGAP5"	0.0329566670523105
"366"	"AGAP6"	1.63327924962431e-07
"367"	"AGAP7"	0.000512917329754115
