"Gene"	"P-value"
"250"	"ADAMTS13"	0.00887093843228726
"251"	"ADAMTS14"	5.37564204261542e-09
"252"	"ADAMTS15"	0.917043143645391
"253"	"ADAMTS16"	0.391874578145347
"254"	"ADAMTS17"	0.966735647538889
"255"	"ADAMTS18"	0.903355173629139
"256"	"ADAMTS19"	0.174769866549025
"257"	"ADAMTS1"	0.944687783233648
"258"	"ADAMTS20"	0.772510647984856
"259"	"ADAMTS2"	0.923923783250445
"260"	"ADAMTS3"	0.490091204009975
"261"	"ADAMTS4"	0.240554833718206
"262"	"ADAMTS5"	0.791570313668877
"263"	"ADAMTS6"	0.393213963614159
"264"	"ADAMTS7"	0.823279104047483
"265"	"ADAMTS8"	0.942970039681739
"266"	"ADAMTS9"	0.967979684613026
"267"	"ADAMTSL1"	0.801993366605861
"268"	"ADAMTSL2"	0.35035398210201
"269"	"ADAMTSL3"	0.142620412969543
"270"	"ADAMTSL4"	0.00318444475031388
"271"	"ADAMTSL5"	0.0333849773918879
"272"	"ADAP1"	0.480077628901747
"273"	"ADAP2"	0.723886086758694
"274"	"ADAR"	0.0687976934638812
"275"	"ADARB1"	0.281976400303051
"276"	"ADARB2"	0.429696053204802
"277"	"ADAT1"	0.334029852044621
"278"	"ADAT2"	0.325659806133843
"279"	"ADAT3"	0.21228982438079
"280"	"ADC"	0.270044638091922
"281"	"ADCK1"	0.397697990956577
"282"	"ADCK2"	0.78536472210733
"283"	"ADCK4"	0.450453905071427
"284"	"ADCK5"	2.89415831300488e-08
"285"	"ADCY10"	0.140126061251791
"286"	"ADCY1"	0.081767530667778
"287"	"ADCY2"	0.139294070608463
"288"	"ADCY3"	0.8725996524169
"289"	"ADCY4"	0.724270919405721
"290"	"ADCY5"	0.00513715505290657
"291"	"ADCY6"	0.583768156612485
"292"	"ADCY7"	0.359808866969364
"293"	"ADCY8"	0.930240905446113
"294"	"ADCY9"	4.86283838821988e-05
"295"	"ADCYAP1"	0.318080361756897
"296"	"ADCYAP1R1"	0.874924432480835
"297"	"ADD1"	0.0211483543056445
"298"	"ADD2"	0.0329810149094396
"299"	"ADD3"	0.000173070879060488
"300"	"ADH1A"	0.785387632812951
"301"	"ADH1B"	0.875614880090982
"302"	"ADH1C"	0.849310884590601
"303"	"ADH4"	0.878772485984872
"304"	"ADH5"	0.00234919517700038
"305"	"ADH6"	0.00489692996274416
