"Gene"	"P-value"
"262"	"ADAMTS5"	0.0697959697253532
"263"	"ADAMTS6"	0.38984471350735
"264"	"ADAMTS7"	0.706335196419023
"265"	"ADAMTS8"	0.982490808095857
"266"	"ADAMTS9"	0.835353375075398
"267"	"ADAMTSL1"	0.585849747439825
"268"	"ADAMTSL2"	0.132771306738418
"269"	"ADAMTSL3"	0.0389517605419188
"270"	"ADAMTSL4"	0.00612894108732898
"271"	"ADAMTSL5"	0.0022564927919817
"272"	"ADAP1"	0.309573341435061
"273"	"ADAP2"	0.0947946008715642
"274"	"ADAR"	0.0117807964831173
"275"	"ADARB1"	0.0682331273916525
"276"	"ADARB2"	0.264838482729887
"277"	"ADAT1"	0.0806070282223986
"278"	"ADAT2"	0.104861494936304
"279"	"ADAT3"	0.0406101709234444
"280"	"ADC"	0.127412943673268
"281"	"ADCK1"	0.284378589014133
"282"	"ADCK2"	0.905099734299336
"283"	"ADCK4"	0.405080875708796
"284"	"ADCK5"	1.88944203616259e-08
"285"	"ADCY10"	0.0687264698210429
"286"	"ADCY1"	0.0109673913349235
"287"	"ADCY2"	0.0815852659880379
"288"	"ADCY3"	0.376721614529023
"289"	"ADCY4"	0.338665699625077
"290"	"ADCY5"	0.000417126442766147
"291"	"ADCY6"	0.341962702247743
"292"	"ADCY7"	0.189283014675451
"293"	"ADCY8"	0.897911306864128
"294"	"ADCY9"	1.12769234872356e-06
"295"	"ADCYAP1"	0.101753951834442
"296"	"ADCYAP1R1"	0.790184524447574
"297"	"ADD1"	0.00240208058264801
"298"	"ADD2"	0.0295920303271671
"299"	"ADD3"	8.04795114162093e-06
"300"	"ADH1A"	0.486345764220408
"301"	"ADH1B"	0.981131825705627
"302"	"ADH1C"	0.974708666118654
"303"	"ADH4"	0.458852009358626
"304"	"ADH5"	0.000104390230420526
"305"	"ADH6"	0.000474744726959297
"306"	"ADHFE1"	0.910548733780336
"307"	"ADI1"	0.92883435398453
"308"	"ADIPOQ"	0.963241743517927
"309"	"ADIPOR1"	0.0852862575200812
"310"	"ADIPOR2"	0.147676333940256
"311"	"ADK"	0.22420412214545
"312"	"ADM"	0.896368947667325
"313"	"ADM2"	0.487922861475306
"314"	"ADNP2"	0.0118546883104753
"315"	"ADNP"	0.0355447331761019
"316"	"ADO"	0.399163746737478
"317"	"ADORA1"	0.187645411542243
"318"	"ADORA2A"	0.405241613708673
"319"	"ADORA2B"	7.65884234348313e-05
"320"	"ADORA3"	0.677855831286276
"321"	"ADPGK"	0.206192858510922
"322"	"ADPRH"	0.0203891534085325
"323"	"ADPRHL1"	0.0421141406740108
"324"	"ADPRHL2"	0.548164015671302
"325"	"ADRA1A"	0.0246904002914712
"326"	"ADRA1B"	0.0555865597356044
"327"	"ADRA1D"	0.905169034446848
"328"	"ADRA2A"	0.0193644559332186
"329"	"ADRA2B"	0.652328447568945
"330"	"ADRA2C"	0.886273303483499
"331"	"ADRB1"	0.885952816290116
"332"	"ADRB2"	0.10116328089925
"333"	"ADRB3"	0.00205278936693887
"334"	"ADRBK1"	0.0429040993565983
"335"	"ADRBK2"	0.205771324209114
"336"	"ADRM1"	7.9518260285294e-06
"337"	"ADSL"	0.0416468370415373
"338"	"ADSS"	0.452754048868078
"339"	"ADSSL1"	0.518885863247583
"340"	"AEBP1"	0.611001447718724
"341"	"AEBP2"	0.0806123034882211
"342"	"AEN"	0.0832638710750649
"343"	"AES"	0.231726042481629
"344"	"AFAP1"	0.0891853523449426
"345"	"AFAP1L1"	0.0112979196511757
"346"	"AFAP1L2"	0.00442928066790804
"347"	"AFARP1"	0.592322026019101
"348"	"AFF1"	0.0219264130457574
"349"	"AFF2"	0.336837547721441
"350"	"AFF3"	0.0377351802738085
"351"	"AFF4"	0.00373046618958506
"352"	"AFG3L1"	0.00130888636399062
"353"	"AFG3L2"	6.35560509508748e-05
"354"	"AFM"	0.0289762297222462
"355"	"AFMID"	0.269196222610485
"356"	"AFP"	0.202009740558006
"357"	"AFTPH"	8.23640931358893e-05
"358"	"AG2"	0.980946402838999
"359"	"AGA"	0.32085674859018
"360"	"AGAP11"	0.895974261104203
"361"	"AGAP1"	0.000260485092889673
"362"	"AGAP2"	0.372319460590603
"363"	"AGAP3"	0.0355748018846878
"364"	"AGAP4"	0.00207025178726183
"365"	"AGAP5"	0.370779362315298
"366"	"AGAP6"	3.04025157139565e-05
"367"	"AGAP7"	0.0123666067439364
"368"	"AGAP8"	3.37331706568023e-05
"369"	"AGBL1"	0.561496801426535
"370"	"AGBL2"	0.00258021367737626
"371"	"AGBL3"	0.586620205944792
"372"	"AGBL4"	0.00819138560746124
"373"	"AGBL5"	0.582070371643622
"374"	"AGER"	0.00079495583957534
"375"	"AGFG1"	0.69827714666628
"376"	"AGFG2"	0.21788266585505
"377"	"AGGF1"	0.0153705677341177
"378"	"AGK"	0.418579627702787
"379"	"AGL"	0.00437212270718512
"380"	"AGMAT"	0.000150401979391757
"381"	"AGPAT1"	0.0085692742066984
"382"	"AGPAT2"	0.264550294571751
"383"	"AGPAT3"	0.00589375207484288
"384"	"AGPAT4"	0.821392376946189
"385"	"AGPAT5"	0.0920017177865067
"386"	"AGPAT6"	0.64134203000545
"387"	"AGPAT9"	0.0143091458028451
"388"	"AGPHD1"	0.375359796367119
"389"	"AGPS"	0.000632697760110212
"390"	"AGR2"	0.332312463693557
"391"	"AGR3"	0.231427898254776
"392"	"AGRN"	0.119534084117203
"393"	"AGRP"	0.0102657578940377
"394"	"AGT"	0.5188643566772
"395"	"AGTPBP1"	0.00201885806965219
"396"	"AGTR1"	0.000480232190011476
"397"	"AGTR2"	0.586178212515036
"398"	"AGTRAP"	0.323068275424531
"399"	"AGXT"	0.35871874140324
"400"	"AGXT2"	0.000627909548290506
"401"	"AGXT2L1"	0.945838798663905
"402"	"AGXT2L2"	0.583802902699071
"403"	"AHCTF1"	0.26971589034334
"404"	"AHCY"	0.777404066214298
"405"	"AHCYL1"	0.0148002678128872
"406"	"AHCYL2"	0.673059773722041
"407"	"AHDC1"	0.203876641474222
"408"	"AHI1"	0.0476575383889188
"409"	"AHNAK2"	0.900209356016761
"410"	"AHNAK"	0.00425027727551242
"411"	"AHR"	0.131247192318121
"412"	"AHRR"	0.701052666540629
"413"	"AHSA1"	0.264857790074315
"414"	"AHSA2"	0.0342582592365699
"415"	"AHSG"	0.0418447777916511
"416"	"AHSP"	0.751846035423486
"417"	"AICDA"	0.131240057045295
