"Gene"	"P-value"
"327"	"ADRB3"	0.955413844666584
"328"	"ADRBK1"	0.487681318349426
"329"	"ADRBK2"	0.84608135277952
"330"	"ADRM1"	0.0741395100654718
"331"	"ADSL"	0.645731266341989
"332"	"ADSS"	0.106540420556211
"333"	"ADSSL1"	0.489048870091831
"334"	"AEBP1"	0.067443085469486
"335"	"AEBP2"	0.0497666733363574
"336"	"AEN"	0.459760848130003
"337"	"AES"	0.0171076801961274
"338"	"AFAP1"	0.00779643023516319
"339"	"AFAP1L1"	0.422076413379625
"340"	"AFAP1L2"	0.000999985865261843
"341"	"AFARP1"	0.959871697418767
"342"	"AFF1"	0.0925728335443523
"343"	"AFF2"	0.107540323043696
"344"	"AFF3"	0.249473442252012
"345"	"AFF4"	0.430293979880962
"346"	"AFG3L1"	0.796109936854758
"347"	"AFG3L2"	0.113517047226958
"348"	"AFM"	0.294724908040291
"349"	"AFMID"	0.280670987826435
"350"	"AFP"	0.0184588362960745
"351"	"AFTPH"	0.141786387840218
"352"	"AG2"	0.181949966491804
"353"	"AGA"	0.31721998851319
"354"	"AGAP11"	0.268317535081991
"355"	"AGAP1"	0.188715598479951
"356"	"AGAP2"	0.0439104928138075
"357"	"AGAP3"	0.0310733644372869
"358"	"AGAP4"	0.746320548714514
"359"	"AGAP5"	0.345260217457916
"360"	"AGAP6"	0.240736101622883
"361"	"AGAP7"	0.453825930036671
"362"	"AGAP8"	0.367603786828555
"363"	"AGBL2"	0.841027913718092
"364"	"AGBL3"	0.0582213026996011
"365"	"AGBL4"	0.873154562904912
"366"	"AGBL5"	0.308607987302441
"367"	"AGER"	0.0283180636513749
"368"	"AGFG1"	0.0656360241553886
"369"	"AGFG2"	0.452941534177909
"370"	"AGGF1"	0.849277934611254
"371"	"AGK"	0.988728237376462
"372"	"AGL"	0.124595213825063
"373"	"AGMAT"	0.165249592094711
"374"	"AGPAT1"	0.269964314428191
"375"	"AGPAT2"	0.559475316462158
"376"	"AGPAT3"	0.60741289312998
"377"	"AGPAT4"	0.982493611963805
"378"	"AGPAT5"	0.405711232773277
"379"	"AGPAT6"	0.96888201105452
"380"	"AGPAT9"	0.395162195967848
"381"	"AGPHD1"	0.0529481359136207
"382"	"AGPS"	0.208996166440562
"383"	"AGR2"	0.442124687818514
"384"	"AGR3"	0.354077900630522
"385"	"AGRN"	0.269414727249277
"386"	"AGRP"	0.311102065216206
"387"	"AGT"	0.579907582162519
"388"	"AGTPBP1"	0.655065316606924
"389"	"AGTR1"	0.342653957040683
"390"	"AGTRAP"	0.260292351873668
"391"	"AGXT"	0.976779695671137
"392"	"AGXT2"	0.288195400901368
"393"	"AGXT2L1"	0.0204581682230175
"394"	"AGXT2L2"	0.315928198371905
"395"	"AHCTF1"	0.00143145206929562
"396"	"AHCY"	0.0718125036887334
"397"	"AHCYL1"	0.335376884467205
"398"	"AHCYL2"	0.386605577442087
"399"	"AHDC1"	0.719862372193731
"400"	"AHI1"	0.116486385386646
"401"	"AHNAK2"	0.593669296875902
"402"	"AHNAK"	0.829775564415879
