"Gene"	"P-value"
"464"	"AKT1S1"	0.0413800160743253
"465"	"AKT2"	0.14236021474879
"466"	"AKT3"	0.0273114554760956
"467"	"AKTIP"	0.0473132760561058
"468"	"ALAD"	0.419827781972208
"469"	"ALAS1"	0.0367896374528137
"470"	"ALAS2"	0.0526188728627005
"471"	"ALB"	0.369432168965086
"472"	"ALCAM"	0.0530249611684689
"473"	"ALDH16A1"	0.0775565196970567
"474"	"ALDH18A1"	0.046661562154941
"475"	"ALDH1A1"	2.4269259332077e-05
"476"	"ALDH1A2"	0.0762395201799143
"477"	"ALDH1A3"	0.17163941382647
"478"	"ALDH1B1"	0.332386265062022
"479"	"ALDH1L1"	2.7785060217056e-06
"480"	"ALDH1L2"	5.17148285348323e-05
"481"	"ALDH2"	0.0585273872658425
"482"	"ALDH3A1"	0.111186564422799
"483"	"ALDH3A2"	0.0212273906923904
"484"	"ALDH3B1"	0.0355248411007668
"485"	"ALDH3B2"	0.00362397400550629
"486"	"ALDH4A1"	0.134395202547619
"487"	"ALDH5A1"	0.177535182233073
"488"	"ALDH6A1"	0.051308172823457
"489"	"ALDH7A1"	1.36914369327501e-05
"490"	"ALDH8A1"	0.508415085214867
"491"	"ALDH9A1"	0.385718036872618
"492"	"ALDOA"	0.0724559569607667
"493"	"ALDOB"	2.61113833807114e-05
"494"	"ALDOC"	1.43434079946658e-07
"495"	"ALG10"	1.12717830058617e-06
"496"	"ALG10B"	0.320557904799119
"497"	"ALG11"	0.355923825256954
"498"	"ALG12"	0.201395015067816
"499"	"ALG13"	0.00135400491463022
"500"	"ALG14"	0.0512617163709173
"501"	"ALG1"	0.366592499481705
"502"	"ALG1L"	0.297809172803051
"503"	"ALG2"	0.219101722438911
"504"	"ALG3"	0.00653650147107732
"505"	"ALG5"	0.480162155632571
"506"	"ALG6"	0.025771083128232
"507"	"ALG8"	7.82957337405188e-05
"508"	"ALG9"	0.147895685336407
"509"	"ALK"	0.060279667259741
"510"	"ALKBH1"	0.0194319915945185
"511"	"ALKBH2"	0.0633754943954019
"512"	"ALKBH3"	1.26659189081391e-05
"513"	"ALKBH4"	0.238870948285681
"514"	"ALKBH5"	0.400524864430305
"515"	"ALKBH6"	0.0565085238213202
"516"	"ALKBH7"	0.0606873704986093
"517"	"ALKBH8"	0.492111994449518
"518"	"ALLC"	0.0771205763113009
"519"	"ALMS1"	0.0894602303268536
"520"	"ALMS1P"	0.0642487936413575
"521"	"ALOX12"	0.0825426941768935
"522"	"ALOX12B"	2.43478758260585e-05
"523"	"ALOX12P2"	0.0397197194662918
"524"	"ALOX15"	0.2036607887767
"525"	"ALOX15B"	0.112592911400148
"526"	"ALOX5"	0.148102634856549
"527"	"ALOX5AP"	0.257155620129814
"528"	"ALOXE3"	0.000192007421854434
"529"	"ALPI"	1.66271841822718e-05
"530"	"ALPK1"	0.310956997420524
"531"	"ALPK2"	0.0443180285154087
"532"	"ALPK3"	0.123265545727454
"533"	"ALPL"	0.189660132597963
"534"	"ALS2"	0.000977848536826365
"535"	"ALS2CL"	0.302232470628587
"536"	"ALS2CR11"	1.12059278427612e-05
"537"	"ALS2CR12"	0.21187719874062
"538"	"ALS2CR4"	8.73120903566171e-06
"539"	"ALS2CR8"	0.166055420895297
"540"	"ALX1"	0.00892709471155573
"541"	"ALX3"	2.77132206184527e-05
"542"	"ALX4"	0.0150159043592994
"543"	"AMAC1"	0.159393410823432
"544"	"AMAC1L2"	0.375482898993804
"545"	"AMAC1L3"	0.112340497328054
"546"	"AMACR"	0.225240393037255
"547"	"AMBP"	3.94558946925638e-06
"548"	"AMBRA1"	0.0869823260477337
"549"	"AMD1"	1.84816577851743e-05
"550"	"AMDHD1"	2.14805568048426e-05
"551"	"AMDHD2"	0.370780188804109
"552"	"AMFR"	0.152082049047007
"553"	"AMH"	0.075249081095381
"554"	"AMHR2"	0.00475440515338665
"555"	"AMICA1"	0.359183414072456
"556"	"AMIGO1"	0.525359786899336
"557"	"AMIGO2"	0.0748413553012239
"558"	"AMIGO3"	0.17071724386504
"559"	"AMMECR1"	1.28422791290106e-07
"560"	"AMMECR1L"	0.0027216065690302
"561"	"AMN1"	0.37851897223274
"562"	"AMN"	0.190054367520183
"563"	"AMOT"	0.411444362192097
"564"	"AMOTL1"	0.194941157667938
"565"	"AMOTL2"	0.0961947202355915
"566"	"AMPD1"	0.0970312504553845
"567"	"AMPD2"	0.519642964154353
"568"	"AMPD3"	0.0895638105333881
"569"	"AMPH"	0.177179598305697
"570"	"AMT"	0.0038970472455172
"571"	"AMY1A"	0.148454868579595
"572"	"AMY2A"	0.134506361211902
"573"	"AMY2B"	0.175016578279712
"574"	"AMZ1"	1.43617462086132e-05
"575"	"AMZ2"	0.0993541948617256
"576"	"AMZ2P1"	0.247698897881591
"577"	"ANAPC10"	0.438004491404497
"578"	"ANAPC11"	0.0321254370289571
"579"	"ANAPC13"	0.210189167136119
"580"	"ANAPC16"	0.121064009749764
"581"	"ANAPC1"	4.55120691200683e-06
"582"	"ANAPC2"	0.390961051747742
"583"	"ANAPC4"	0.315748831709149
"584"	"ANAPC5"	0.0149091925848629
"585"	"ANAPC7"	6.2762796071425e-07
"586"	"ANG"	0.232533224485696
"587"	"ANGEL1"	0.318744990258431
"588"	"ANGEL2"	0.0281147258994446
"589"	"ANGPT1"	0.0507690349612424
"590"	"ANGPT2"	1.33387053388168e-05
"591"	"ANGPT4"	0.082833402222611
"592"	"ANGPTL1"	0.231733512792537
"593"	"ANGPTL2"	1.92345699845387e-06
"594"	"ANGPTL3"	1.01628489128647e-05
"595"	"ANGPTL4"	0.434139448959854
"596"	"ANGPTL5"	0.164421638632234
"597"	"ANGPTL6"	8.81216948078745e-07
"598"	"ANGPTL7"	0.129916272739418
"599"	"ANK1"	0.359440001034716
"600"	"ANK2"	0.0597484169086205
"601"	"ANK3"	1.93348469977872e-05
"602"	"ANKAR"	0.0994517564641328
"603"	"ANKDD1A"	0.00367687116540127
"604"	"ANKFY1"	0.222255890695842
"605"	"ANKH"	0.160042481106253
"606"	"ANKHD1"	7.18209369321432e-06
"607"	"ANKHD1-EIF4EBP3"	0.137349184485982
"608"	"ANKIB1"	0.249403854326322
"609"	"ANKK1"	0.0360700919031735
"610"	"ANKLE1"	0.0570612491196858
"611"	"ANKLE2"	0.162549780943489
"612"	"ANKMY1"	0.198065951536431
"613"	"ANKMY2"	0.225295163203622
"614"	"ANKRA2"	0.0650931072475207
"615"	"ANKRD10"	0.401994246625914
"616"	"ANKRD11"	0.0193003804169688
"617"	"ANKRD12"	0.376642546269942
"618"	"ANKRD1"	0.00598182898907951
"619"	"ANKRD13A"	0.106170591888656
"620"	"ANKRD13B"	0.0427130941471523
"621"	"ANKRD13C"	8.36727077602184e-06
"622"	"ANKRD13D"	0.0539953944499383
"623"	"ANKRD16"	0.214926395165502
"624"	"ANKRD17"	0.409913951459482
"625"	"ANKRD19"	0.347661154471661
"626"	"ANKRD20A3"	0.0949278757890784
"627"	"ANKRD20A4"	3.41046161933534e-06
"628"	"ANKRD20B"	0.161109675964734
"629"	"ANKRD22"	0.149708305986915
"630"	"ANKRD2"	0.165524908056311
"631"	"ANKRD23"	0.0340730525115819
"632"	"ANKRD24"	0.398699557018576
"633"	"ANKRD26"	0.131873285288324
